id,date,username,text,geo
1263979970386366465,2020-05-22 23:48:03+00:00,toni0g,"La ruina es morirse en la cama de un hospital porque no hay respiradores suficientes para todos... Pero si, que pena que no estén todos los bares abiertos, que barbaridad!!! A ver si abren el corte inglés ya, no sea cosa que se pasen las rebajas de primavera...",
1263978732089475072,2020-05-22 23:43:07+00:00,El_Pavia,Jefe de planta de El Corte Inglés.,
1263970911302057989,2020-05-22 23:12:03+00:00,Caarmen_ares,"@carmenvega__ mira, el Corte Inglés",
1263968049771819023,2020-05-22 23:00:41+00:00,hipermedula,Concurso MAD-FD El Corte Inglés / premiará la creación de arte contemporáneo para la producción de obras para MAD-FD Madrid Fashion District #madridfashiondistrict @elcorteingles @ifemaferiademadrid @feriaarco #ARCO2020 #convocatorias @hipermedula_org http://ow.ly/RNfX30qIC4M,
1263967878220517377,2020-05-22 23:00:00+00:00,ainderlab,"Lo #RecomiendoLeer Iron Man vs.Emprendedor el libro que habla sobre el cliente del futuro, también disponible en la Casa del Libro y en el Corte Inglés #emprender #emprendedores #emprendedoras #ainderup#startup vía http://bit.ly/2Rz66XD",
1263965245581770760,2020-05-22 22:49:32+00:00,Rafawin,"Vendo cacerola, no es de El Corte Inglés, lo mismo no te interesa...",
1263962550179430400,2020-05-22 22:38:49+00:00,LaraSer19075637,Un día muy especial firma de libros en el Corte Inglés de Goya 2017 muchas gracias @Javier__Sierra a la espera de firma de libros de El mensaje de Pandora.,
1263959618562162699,2020-05-22 22:27:10+00:00,JoseFlavio58,"Que sepáis canarios en El Corte Inglés nos gobiernan estos malagueños , como dicen que son irresponsables ....",
1263956117648015362,2020-05-22 22:13:16+00:00,fmaderuelo67,Las señoras esperan a que abra el corte inglés y sus rebajas de primavera,
1263954508205481987,2020-05-22 22:06:52+00:00,jmnajarro,En cuanto el corte inglés y los spa estén abiertos no tendrán tiempo para concentrarse.,
